created_at,entry_id,field1,field2,field3,field4
2018-03-29 16:20:40 UTC,39,24.40,27.60,-85,
2018-03-29 16:20:59 UTC,40,24.40,27.60,-85,
2018-03-29 16:21:21 UTC,41,24.40,27.50,-85,
2018-03-29 16:21:37 UTC,42,24.40,27.50,-86,
2018-03-29 16:21:56 UTC,43,24.40,27.60,-85,
2018-03-29 16:22:15 UTC,44,24.40,27.60,-86,
2018-03-29 16:22:34 UTC,45,24.40,27.40,-86,
2018-03-29 16:22:55 UTC,46,24.40,28.60,26,
2018-03-29 16:23:13 UTC,47,24.40,27.70,16,
2018-03-29 16:23:32 UTC,48,24.40,27.50,13,
2018-03-29 16:23:51 UTC,49,24.50,27.60,4,
2018-03-29 16:24:09 UTC,50,24.50,27.50,-71,
2018-03-29 16:24:29 UTC,51,24.60,27.50,-72,
2018-03-29 16:24:48 UTC,52,24.60,27.40,-74,
2018-03-29 16:25:07 UTC,53,24.60,27.40,-75,
2018-03-29 16:25:26 UTC,54,24.60,27.20,-76,
2018-03-29 16:25:45 UTC,55,24.60,27.70,-76,
2018-03-29 16:26:05 UTC,56,24.60,28.00,-78,
2018-03-29 16:26:25 UTC,57,24.70,29.70,-80,
2018-03-29 16:26:44 UTC,58,24.70,31.50,-81,
2018-03-29 16:27:04 UTC,59,24.70,32.20,-81,
2018-03-29 16:27:23 UTC,60,24.70,32.20,-78,
2018-03-29 16:27:42 UTC,61,24.70,32.30,-86,
2018-03-29 16:28:02 UTC,62,24.80,32.00,-86,
2018-03-29 16:28:21 UTC,63,24.80,32.10,-86,
2018-03-29 16:28:40 UTC,64,24.80,31.60,-86,
2018-03-29 16:28:59 UTC,65,24.90,31.30,-85,
2018-03-29 16:29:18 UTC,66,24.90,31.10,-86,
2018-03-29 16:29:37 UTC,67,24.90,30.90,-85,
2018-03-29 16:29:57 UTC,68,24.90,30.70,-86,
2018-03-29 16:30:17 UTC,69,24.90,30.60,-86,
2018-03-29 16:30:38 UTC,70,24.90,30.30,-85,
2018-03-29 16:30:57 UTC,71,25.00,30.30,-85,
2018-03-29 16:31:16 UTC,72,24.90,30.20,-85,
2018-03-29 16:31:35 UTC,73,25.00,30.20,-86,
2018-03-29 16:31:54 UTC,74,25.00,30.00,-86,
2018-03-29 16:32:16 UTC,75,25.00,29.80,-86,
2018-03-29 16:36:27 UTC,76,25.00,29.10,-86,
2018-03-29 16:36:46 UTC,77,25.00,28.90,-85,
2018-03-29 16:37:07 UTC,78,25.00,28.90,-86,
2018-03-29 16:37:26 UTC,79,25.00,28.90,-86,
2018-03-29 16:37:46 UTC,80,25.00,28.90,-85,
2018-03-29 16:38:05 UTC,81,25.00,28.90,-86,
2018-03-29 16:38:24 UTC,82,25.00,28.90,-86,
2018-03-29 16:38:59 UTC,83,25.00,29.10,-86,
2018-03-29 16:39:18 UTC,84,25.10,29.00,-86,
2018-03-29 16:39:37 UTC,85,25.10,29.70,-86,
2018-03-29 16:39:56 UTC,86,25.10,29.30,-85,
2018-03-29 16:40:16 UTC,87,25.10,29.00,-85,
2018-03-29 16:40:38 UTC,88,25.10,29.00,-86,
2018-03-29 16:40:54 UTC,89,25.10,29.00,-85,
2018-03-29 16:41:12 UTC,90,25.10,28.90,-86,1
2018-03-29 16:41:33 UTC,91,25.10,28.70,-85,1
2018-03-29 16:41:54 UTC,92,25.10,28.80,-86,1
2018-03-29 16:42:11 UTC,93,25.10,28.60,-86,1
2018-03-29 16:42:30 UTC,94,25.10,28.70,-85,1
2018-03-29 16:42:50 UTC,95,25.10,28.60,-86,1
2018-03-29 16:43:10 UTC,96,25.10,28.40,-86,1
2018-03-29 16:43:29 UTC,97,25.10,28.40,-86,1
2018-03-29 16:43:47 UTC,98,25.10,28.30,-85,1
2018-03-29 16:44:07 UTC,99,25.10,28.10,-86,1
2018-03-29 16:44:25 UTC,100,25.10,28.20,-86,1
2018-03-29 16:44:45 UTC,101,25.30,28.20,-86,1
2018-03-29 16:45:04 UTC,102,25.10,28.00,-85,1
2018-03-29 16:45:22 UTC,103,25.10,27.90,-86,1
2018-03-29 16:45:45 UTC,104,25.10,27.90,-85,1
2018-03-29 16:46:00 UTC,105,25.10,27.90,-86,1
2018-03-29 16:46:21 UTC,106,25.10,27.90,-86,1
2018-03-29 16:47:24 UTC,107,25.10,27.80,-86,1
2018-03-29 16:47:43 UTC,108,25.20,27.60,-86,1
2018-03-29 16:48:03 UTC,109,25.10,27.60,-85,1
2018-03-29 16:48:22 UTC,110,25.10,27.50,-86,1
2018-03-29 16:48:47 UTC,111,25.10,27.70,-85,1
2018-03-29 16:49:20 UTC,112,25.20,27.60,-86,1
2018-03-29 16:49:56 UTC,113,25.20,27.40,-83,1
2018-03-29 16:50:15 UTC,114,25.20,27.40,-86,1
2018-03-29 16:50:37 UTC,115,25.20,27.60,-86,1
2018-03-29 16:50:52 UTC,116,25.20,27.40,-86,1
2018-03-29 16:51:13 UTC,117,25.20,27.20,-85,0
2018-03-29 16:51:39 UTC,118,25.20,27.40,-85,0
2018-03-29 16:51:58 UTC,119,25.20,27.20,-86,0
2018-03-29 16:52:20 UTC,120,25.20,27.20,-85,0
2018-03-29 16:52:37 UTC,121,25.20,27.10,-86,0
2018-03-29 16:52:57 UTC,122,25.20,27.20,-86,0
2018-03-29 16:53:16 UTC,123,25.20,27.30,-85,0
2018-03-29 16:53:35 UTC,124,25.20,27.20,-86,0
2018-03-29 16:53:54 UTC,125,25.20,27.10,-86,0
2018-03-29 16:54:14 UTC,126,25.20,27.00,-85,0
2018-03-29 16:54:33 UTC,127,25.20,26.80,-86,0
2018-03-29 16:54:55 UTC,128,25.20,26.90,-86,0
2018-03-29 16:55:11 UTC,129,25.20,26.90,-86,0
2018-03-29 16:55:33 UTC,130,25.20,26.70,-86,0
2018-03-29 16:55:51 UTC,131,25.20,26.80,-85,0
2018-03-29 16:56:11 UTC,132,25.20,26.70,-86,0
2018-03-29 16:56:33 UTC,133,25.20,26.70,-86,0
2018-03-29 16:56:58 UTC,134,25.10,26.70,-85,0
2018-03-29 16:57:23 UTC,135,25.10,26.70,-86,0
2018-03-29 16:57:43 UTC,136,25.10,26.90,-85,0
2018-03-29 16:58:00 UTC,137,25.10,26.90,-85,0
2018-03-29 16:58:26 UTC,138,25.10,26.80,-85,0
2018-03-29 17:13:17 UTC,139,24.40,27.20,-86,1
2018-03-29 17:13:36 UTC,140,24.30,26.90,-86,1
2018-03-29 17:13:58 UTC,141,24.30,26.70,-86,1
2018-03-29 18:50:43 UTC,142,24.10,28.20,-85,1
2018-03-29 18:51:32 UTC,143,24.10,27.90,-86,1
2018-03-29 18:52:11 UTC,144,24.00,27.90,-86,1
2018-03-29 18:52:50 UTC,145,24.00,27.80,-86,1
2018-03-29 18:53:29 UTC,146,24.00,27.80,-85,1
2018-03-29 18:54:06 UTC,147,24.00,27.60,-86,1
2018-03-29 18:54:43 UTC,148,24.00,27.60,-85,1
2018-03-29 18:56:09 UTC,149,24.00,27.60,-86,1
2018-03-29 18:57:47 UTC,150,24.00,27.30,-84,1
2018-03-29 19:04:36 UTC,151,23.90,27.20,-86,1
2018-03-29 19:06:16 UTC,152,23.80,26.80,-85,1
2018-03-29 19:07:57 UTC,153,23.80,26.60,-86,1
2018-03-29 19:10:37 UTC,154,23.80,26.50,-86,1
2018-03-29 19:44:03 UTC,155,23.70,27.10,-86,1
2018-03-29 19:44:30 UTC,156,23.80,28.10,-86,1
2018-03-29 19:59:58 UTC,157,24.10,28.80,-86,1
2018-03-29 20:00:56 UTC,158,24.10,28.70,-85,1
2018-03-29 20:01:57 UTC,159,24.00,28.30,-86,1
2018-03-29 20:02:59 UTC,160,24.00,28.30,-86,1
2018-03-29 20:03:56 UTC,161,24.00,28.30,-86,1
2018-03-29 20:04:58 UTC,162,23.90,28.20,-86,1
2018-03-29 20:05:59 UTC,163,23.80,28.10,-86,1
2018-03-29 20:06:59 UTC,164,23.80,28.10,-86,1
2018-03-29 20:07:58 UTC,165,23.80,28.00,-86,1
2018-03-29 20:08:59 UTC,166,23.70,27.80,-85,1
2018-03-29 20:09:58 UTC,167,23.70,27.90,-86,1
2018-03-29 20:10:58 UTC,168,23.70,27.70,-86,1
2018-03-29 20:11:59 UTC,169,23.70,28.30,-86,1
2018-03-29 20:12:59 UTC,170,23.70,30.20,-86,1
2018-03-29 20:14:00 UTC,171,23.90,32.20,-86,1
2018-03-29 20:14:59 UTC,172,24.00,33.20,-85,1
2018-03-29 20:15:57 UTC,173,24.20,35.20,-86,1
2018-03-29 20:17:00 UTC,174,24.30,36.30,-86,1
2018-03-29 20:17:59 UTC,175,24.40,35.60,-86,1
2018-03-29 20:18:57 UTC,176,24.50,34.20,-85,1
2018-03-29 20:19:58 UTC,177,24.40,33.30,-86,1
2018-03-29 20:20:59 UTC,178,24.40,32.50,-85,1
2018-03-29 20:21:57 UTC,179,24.30,31.70,-86,1
2018-03-29 20:23:00 UTC,180,24.30,31.10,-85,1
2018-03-29 20:24:00 UTC,181,24.20,30.60,-86,1
2018-03-29 20:24:59 UTC,182,24.10,30.10,-86,1
2018-03-29 20:25:59 UTC,183,24.10,30.10,-85,1
2018-03-30 06:27:09 UTC,184,23.70,37.60,-86,1
2018-03-30 06:28:06 UTC,185,23.70,36.90,-86,1
2018-03-30 06:29:07 UTC,186,23.70,36.50,-85,1
2018-03-30 07:46:33 UTC,187,21.80,29.40,-86,1
2018-03-30 07:50:49 UTC,188,21.90,29.40,-86,1
2018-03-30 07:51:15 UTC,189,21.90,29.30,-86,1
2018-03-30 07:51:42 UTC,190,21.80,29.40,-85,1


